,price,area,bath,room,parking,year,property_type,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool,ranking
263,59229,31,2,3,1,2023,1,0,0,1,0,0,0,0,0,3.27
264,193778,76,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
265,83276,55,2,2,1,2023,1,0,0,1,0,0,0,0,0,4.66
266,115675,67,2,2,0,2023,1,1,1,1,0,0,1,1,0,4.66
267,160000,91,2,3,0,2023,1,1,1,1,0,0,1,1,1,5.0
268,210500,99,2,3,0,2023,1,1,1,0,0,0,0,1,1,4.59
269,122973,98,2,2,0,2023,1,1,1,1,0,0,1,1,0,4.66
270,127081,71,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.27
271,80426,43,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.4
272,70750,22,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
273,81675,71,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.27
274,81081,42,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.27
275,67567,61,2,2,0,2023,1,0,0,0,0,0,0,0,0,3.21
276,93160,59,2,2,1,2023,1,0,0,1,0,0,0,0,0,3.27
277,152970,62,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
278,120189,75,2,3,1,2023,1,0,0,1,0,0,0,0,0,4.66
279,145847,86,2,3,1,2023,1,1,1,0,0,0,1,1,0,4.66
280,130476,68,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.4
281,82943,50,2,2,1,2023,1,0,0,1,0,0,0,0,0,3.27
282,160788,61,2,2,0,2023,1,0,0,1,0,0,0,1,0,5.0
283,142511,89,2,3,1,2023,1,0,0,1,0,0,0,0,0,4.66
284,161891,91,2,2,0,2023,1,1,1,1,0,0,1,1,0,4.66
285,128378,69,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.27
286,138150,76,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.4
287,180197,92,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
288,64162,56,2,2,0,2023,1,0,0,0,0,0,0,0,0,2.8
289,163815,62,2,2,0,2023,1,0,0,1,0,0,0,1,0,5.0
290,212770,159,3,3,1,2023,1,0,0,1,0,0,0,0,0,4.66
291,170000,77,2,2,0,2023,1,1,1,1,0,0,1,1,1,5.0
292,224548,115,3,3,0,2023,1,1,1,0,0,0,0,1,1,4.59
293,160000,89,2,2,0,2023,1,1,1,1,0,0,1,1,0,4.66
294,101351,52,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.27
295,143851,76,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.4
296,145168,58,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
297,87000,105,2,3,0,2015,1,1,1,1,0,0,0,1,0,2.36
298,167995,84,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
299,147837,82,2,3,0,2023,1,1,1,1,0,0,1,1,0,4.66
300,156390,58,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
301,160671,60,2,2,0,2023,1,0,0,1,0,0,0,1,0,5.0
302,165000,87,2,3,0,2023,1,1,1,1,0,0,1,1,1,5.0
303,149466,84,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.4
304,158690,79,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
305,168108,103,2,3,0,2023,1,1,1,1,0,0,1,1,0,4.66
306,74729,39,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.27
307,158679,82,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.4
308,66704,21,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
309,212719,96,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
310,150000,88,3,3,1,2015,1,1,1,1,1,0,0,1,0,4.49
311,77297,41,2,3,0,2023,1,1,1,1,0,0,1,1,0,4.66
312,163078,93,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.27
313,219784,96,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
314,127837,74,2,3,0,2023,1,1,1,1,0,0,1,1,0,4.66
315,218637,103,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
316,178186,65,2,2,0,2023,1,0,0,1,0,0,0,1,0,5.0
317,136000,81,2,2,1,2023,1,0,0,0,0,1,1,1,1,3.27
318,207978,91,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
319,180741,80,2,2,0,2023,1,1,1,0,0,0,0,1,1,4.59
320,91666,37,2,2,0,2023,1,0,0,0,0,0,1,1,0,3.21
321,159000,103,2,3,1,2002,1,1,1,1,1,1,0,0,0,4.59
322,112448,60,2,2,0,2023,1,1,0,0,0,0,0,0,0,5.0
323,182804,94,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
324,228106,119,2,2,0,2023,1,1,0,0,1,0,0,0,0,5.0
325,151691,75,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
326,171298,79,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
327,189262,89,2,3,0,2023,1,1,0,0,1,0,0,0,0,5.0
328,166458,81,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
329,174798,76,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
330,164370,84,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
331,135555,73,2,3,0,2023,1,0,0,0,0,0,1,1,0,3.21
332,124444,70,2,3,0,2023,1,0,0,0,0,0,1,1,0,3.21
333,162162,87,2,2,0,2023,1,1,0,1,0,0,1,0,0,4.66
334,108729,48,2,3,0,2023,1,1,1,1,0,0,0,1,1,4.59
335,138906,62,2,2,0,2023,1,0,0,0,0,0,0,0,0,5.0
336,138309,75,2,3,0,2023,1,1,0,0,0,0,0,0,0,5.0
337,129459,65,2,2,0,2023,1,1,0,1,0,0,1,0,0,4.66
338,107216,48,2,3,0,2023,1,1,1,1,0,0,0,1,1,4.59
339,164741,75,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
340,127777,71,2,2,0,2023,1,0,0,0,0,0,1,1,0,3.21
341,125915,73,2,3,0,2023,1,1,0,0,0,0,0,0,0,5.0
342,155135,77,2,3,0,2023,1,1,0,1,0,0,1,0,0,4.66
343,121027,53,2,3,0,2023,1,1,1,1,0,0,0,1,1,4.59
344,137046,61,2,2,0,2023,1,0,0,0,0,0,0,0,0,5.0
345,138378,77,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.4
346,71985,40,2,3,0,2023,1,1,1,0,1,0,1,1,0,4.4
347,129162,55,2,2,0,2023,1,0,0,1,0,0,0,1,0,4.95
348,103888,56,2,2,0,2023,1,0,0,0,0,0,1,1,0,3.21
349,145270,75,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
350,105693,61,2,2,0,2023,1,1,0,0,0,0,0,0,0,5.0
